Random Forest Accuracy
Best Score = 0.6680
Best Hyper-parameters = {'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10}

Test Scores:
0.5498 (+/-0.039) for {'criterion': 'gini', 'max_depth': 1, 'n_estimators': 1}
0.5475 (+/-0.048) for {'criterion': 'gini', 'max_depth': 1, 'n_estimators': 2}
0.5652 (+/-0.056) for {'criterion': 'gini', 'max_depth': 1, 'n_estimators': 3}
0.5885 (+/-0.063) for {'criterion': 'gini', 'max_depth': 1, 'n_estimators': 4}
0.6003 (+/-0.056) for {'criterion': 'gini', 'max_depth': 1, 'n_estimators': 5}
0.6099 (+/-0.054) for {'criterion': 'gini', 'max_depth': 1, 'n_estimators': 6}
0.5686 (+/-0.058) for {'criterion': 'gini', 'max_depth': 1, 'n_estimators': 7}
0.6183 (+/-0.047) for {'criterion': 'gini', 'max_depth': 1, 'n_estimators': 8}
0.5779 (+/-0.040) for {'criterion': 'gini', 'max_depth': 1, 'n_estimators': 9}
0.6210 (+/-0.047) for {'criterion': 'gini', 'max_depth': 1, 'n_estimators': 10}
0.5686 (+/-0.050) for {'criterion': 'gini', 'max_depth': 2, 'n_estimators': 1}
0.5438 (+/-0.030) for {'criterion': 'gini', 'max_depth': 2, 'n_estimators': 2}
0.5949 (+/-0.066) for {'criterion': 'gini', 'max_depth': 2, 'n_estimators': 3}
0.5978 (+/-0.043) for {'criterion': 'gini', 'max_depth': 2, 'n_estimators': 4}
0.6208 (+/-0.060) for {'criterion': 'gini', 'max_depth': 2, 'n_estimators': 5}
0.6368 (+/-0.049) for {'criterion': 'gini', 'max_depth': 2, 'n_estimators': 6}
0.6087 (+/-0.045) for {'criterion': 'gini', 'max_depth': 2, 'n_estimators': 7}
0.6224 (+/-0.062) for {'criterion': 'gini', 'max_depth': 2, 'n_estimators': 8}
0.6314 (+/-0.043) for {'criterion': 'gini', 'max_depth': 2, 'n_estimators': 9}
0.6454 (+/-0.017) for {'criterion': 'gini', 'max_depth': 2, 'n_estimators': 10}
0.5939 (+/-0.048) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 1}
0.6423 (+/-0.062) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 2}
0.6226 (+/-0.068) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 3}
0.6376 (+/-0.064) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 4}
0.6197 (+/-0.057) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 5}
0.6351 (+/-0.057) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 6}
0.6392 (+/-0.061) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 7}
0.6148 (+/-0.056) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 8}
0.6495 (+/-0.059) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 9}
0.6433 (+/-0.037) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 10}
0.5982 (+/-0.058) for {'criterion': 'gini', 'max_depth': 4, 'n_estimators': 1}
0.5908 (+/-0.036) for {'criterion': 'gini', 'max_depth': 4, 'n_estimators': 2}
0.6210 (+/-0.057) for {'criterion': 'gini', 'max_depth': 4, 'n_estimators': 3}
0.6284 (+/-0.061) for {'criterion': 'gini', 'max_depth': 4, 'n_estimators': 4}
0.6138 (+/-0.101) for {'criterion': 'gini', 'max_depth': 4, 'n_estimators': 5}
0.6411 (+/-0.063) for {'criterion': 'gini', 'max_depth': 4, 'n_estimators': 6}
